Regione;Imprese_0_9;Imprese_10_49;Imprese_50_249;Imprese_250;Addetti_0_9;Addetti_10_49;Addetti_50_249;Addetti_250;Dimensione_media
Industria in senso stretto;82.4;15.0;2.2;0.3;22.6;29.3;22.4;25.7;9.7
Costruzioni;96.2;3.6;0.2;0.0;66.0;22.9;7.1;3.9;2.6
Commercio, trasporto e magazzinaggio, alloggio e ristorazione;95.3;4.3;0.4;0.1;52.2;19.4;9.0;19.5;3.8
Altri servizi;97.7;1.9;0.3;0.1;49.5;12.3;11.6;26.5;2.9
