"ITTER107"	"Territorio"	"TIPO_DATO_ISTR"	"Tipo dato"	"SEXISTAT1"	"Sesso"	"CITTADINANZA"	"Cittadinanza"	"ORDINESCOL2"	"Ordine scolastico"	"NATGIUR1"	"Gestione della scuola"	"TIPO_SCUOLA2"	"Tipo di scuola superiore"	"TIME"	"Seleziona anno (anno t= anno sc. t-1 / t)"	"Value"	"Flag Codes"	"Flags"
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"FRG"	"straniero-a"	"UPP"	"secondaria II grado"	"STA"	"statale"	"TECH"	"altri istituti tecnici"	"2018"	"2018"	116		
"ITD1"	"Provincia Autonoma Bolzano / Bozen"	"ENR"	"iscritti "	"F"	"femmine"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"COM"	"istituto professionale per i servizi commerciali"	"2018"	"2018"	913		
"ITE"	"Centro"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"UPP"	"secondaria II grado"	"PRI"	"privata"	"INDU"	"istituto tecnico industriale"	"2018"	"2018"	572		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"M"	"maschi"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB_NSTA"	"non statale pubblica"	"CLA"	"liceo classico"	"2018"	"2018"	71		
"IT"	"Italia"	"REPT"	"ripetenti "	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"STA"	"statale"	"VOC_OTH"	"altri istituti professionali"	"2018"	"2018"	6719		
"ITD5"	"Emilia-Romagna"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"UPP"	"secondaria II grado"	"ALL"	"totale"	"CLA"	"liceo classico"	"2018"	"2018"	5701		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"FRG"	"straniero-a"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"LIN"	"liceo linguistico"	"2018"	"2018"	55		
"ITE2"	"Umbria"	"ENR"	"iscritti "	"M"	"maschi"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"ART"	"istituto d arte"	"2018"	"2018"	526		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"REPT"	"ripetenti "	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB_NSTA"	"non statale pubblica"	"PSY"	"licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)"	"2018"	"2018"	49		
"ITD1"	"Provincia Autonoma Bolzano / Bozen"	"ENR"	"iscritti "	"M"	"maschi"	"FRG"	"straniero-a"	"UPP"	"secondaria II grado"	"PRI"	"privata"	"PSY"	"licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)"	"2018"	"2018"	3		
