Regione;Imprese_VA;Imprese_Perc;Addetti_VA;Addetti_Perc
Industria in senso stretto;410791;9.4;3977103;23.8
Costruzioni;508696;11.6;1323972;7.9
Commercio, trasporto e magazzinaggio, alloggio e ristorazione;1552402;35.4;5867184;35.2
Altri servizi;1919022;43.7;5516258;33.1
